year,first_timestamp,last_timestamp,bar_count,unique_utc_dates,gaps_beginning_in_period,gaps_ending_in_period,gaps_touching_period,estimated_missing_m15_timestamps_in_period,count_field_non_null_count,count_field_complete_percentage,count_field_median
2010,2010-01-03T22:00:00Z,2010-12-31T19:45:00Z,24955,312,53,52,53,9805,24955,100.0,15.0
2011,2011-01-02T22:00:00Z,2011-12-30T21:45:00Z,24928,311,52,52,53,10112,24928,100.0,15.0
2012,2012-01-02T07:00:00Z,2012-12-31T21:45:00Z,24869,312,54,54,55,10267,24869,100.0,15.0
2013,2013-01-01T22:00:00Z,2013-12-31T20:45:00Z,24798,312,55,55,56,10242,24798,100.0,15.0
2014,2014-01-01T22:00:00Z,2014-12-31T21:45:00Z,24761,312,54,54,55,10279,24761,100.0,15.0
2015,2015-01-01T18:00:00Z,2015-12-31T21:45:00Z,24856,312,55,55,56,10184,24856,100.0,15.0
2016,2016-01-03T22:00:00Z,2016-12-30T21:45:00Z,24894,312,53,53,54,10242,24894,100.0,15.0
2017,2017-01-02T07:00:00Z,2017-12-29T21:45:00Z,24828,310,52,52,53,10212,24828,100.0,15.0
2018,2018-01-01T22:00:00Z,2018-12-31T21:45:00Z,24904,313,54,54,55,10136,24904,100.0,15.0
2019,2019-01-01T22:00:00Z,2019-12-31T21:45:00Z,24849,312,57,57,58,10191,24849,100.0,15.0
2020,2020-01-01T22:00:00Z,2020-12-31T21:45:00Z,24919,314,56,56,57,10217,24919,100.0,15.0
2021,2021-01-03T22:00:00Z,2021-12-31T21:45:00Z,24875,312,55,55,56,10165,24875,100.0,15.0
2022,2022-01-02T22:00:00Z,2022-12-30T21:45:00Z,24956,312,53,53,54,10084,24956,100.0,15.0
2023,2023-01-01T22:00:00Z,2023-12-29T21:45:00Z,21632,311,733,733,734,13408,21632,100.0,15.0
2024,2024-01-01T22:00:00Z,2024-12-31T21:45:00Z,24970,314,60,60,61,10166,24970,100.0,15.0
2025,2025-01-01T22:00:00Z,2025-12-31T21:45:00Z,24896,313,59,59,60,10144,24896,100.0,15.0
2026,2026-01-01T22:00:00Z,2026-06-26T20:45:00Z,12055,152,32,33,33,4925,12055,100.0,15.0
