interval_class,timestamp_before,timestamp_after,interval_minutes,close_before,close_after,close_change,absolute_close_change,before_open,before_high,before_low,before_close,after_open,after_high,after_low,after_close
exact_15_minute,2015-12-03T13:15:00Z,2015-12-03T13:30:00Z,15.0,1.06666,1.08897,0.022310000000000052,0.022310000000000052,1.06707,1.06891,1.06545,1.06666,1.06666,1.08898,1.06462,1.08897
exact_15_minute,2022-11-10T13:15:00Z,2022-11-10T13:30:00Z,15.0,0.99573,1.01194,0.016210000000000058,0.016210000000000058,0.99541,0.99653,0.99483,0.99573,0.99573,1.01202,0.99533,1.01194
exact_15_minute,2016-03-10T13:45:00Z,2016-03-10T14:00:00Z,15.0,1.09208,1.10648,0.014399999999999968,0.014399999999999968,1.08494,1.09708,1.08445,1.09208,1.09204,1.11154,1.09104,1.10648
exact_15_minute,2015-10-02T12:15:00Z,2015-10-02T12:30:00Z,15.0,1.11558,1.12945,0.013870000000000049,0.013870000000000049,1.1159,1.11617,1.11554,1.11558,1.12227,1.13113,1.12147,1.12945
exact_15_minute,2025-08-01T12:15:00Z,2025-08-01T12:30:00Z,15.0,1.13945,1.15291,0.013460000000000027,0.013460000000000027,1.14058,1.14067,1.13915,1.13945,1.1394,1.15329,1.1394,1.15291
exact_15_minute,2011-09-15T12:45:00Z,2011-09-15T13:00:00Z,15.0,1.3771,1.3903,0.0132000000000001,0.0132000000000001,1.3793,1.3798,1.377,1.3771,1.3772,1.3913,1.3772,1.3903
exact_15_minute,2013-11-07T12:30:00Z,2013-11-07T12:45:00Z,15.0,1.35007,1.33706,-0.013010000000000188,0.013010000000000188,1.35062,1.35152,1.34988,1.35007,1.34999,1.34999,1.33532,1.33706
exact_15_minute,2016-03-10T12:30:00Z,2016-03-10T12:45:00Z,15.0,1.09695,1.08455,-0.012400000000000189,0.012400000000000189,1.09805,1.09897,1.09594,1.09695,1.09725,1.09763,1.08436,1.08455
exact_15_minute,2015-06-05T12:15:00Z,2015-06-05T12:30:00Z,15.0,1.122,1.1101,-0.011900000000000022,0.011900000000000022,1.1218,1.12248,1.1215,1.122,1.11431,1.11521,1.10751,1.1101
exact_15_minute,2011-11-30T12:45:00Z,2011-11-30T13:00:00Z,15.0,1.3298,1.3417,0.0118999999999998,0.0118999999999998,1.3313,1.3314,1.3292,1.3298,1.3299,1.35,1.3298,1.3417
exact_15_minute,2022-09-13T12:15:00Z,2022-09-13T12:30:00Z,15.0,1.01668,1.00507,-0.01161000000000012,0.01161000000000012,1.01748,1.01759,1.01626,1.01668,1.01666,1.01669,1.00434,1.00507
exact_15_minute,2015-08-24T12:45:00Z,2015-08-24T13:00:00Z,15.0,1.15484,1.16644,0.011599999999999833,0.011599999999999833,1.15429,1.15713,1.15428,1.15484,1.15481,1.1714,1.15478,1.16644
exact_15_minute,2015-11-06T13:15:00Z,2015-11-06T13:30:00Z,15.0,1.0853,1.07383,-0.01146999999999987,0.01146999999999987,1.08641,1.08683,1.0853,1.0853,1.08043,1.08043,1.07063,1.07383
exact_15_minute,2011-09-06T07:45:00Z,2011-09-06T08:00:00Z,15.0,1.4111,1.4222,0.011099999999999888,0.011099999999999888,1.4093,1.4114,1.4089,1.4111,1.411,1.4248,1.4107,1.4222
exact_15_minute,2015-10-28T17:45:00Z,2015-10-28T18:00:00Z,15.0,1.10613,1.0953,-0.010830000000000117,0.010830000000000117,1.10727,1.10822,1.10588,1.10613,1.10563,1.10563,1.09301,1.0953
exact_15_minute,2013-07-10T22:30:00Z,2013-07-10T22:45:00Z,15.0,1.30689,1.31752,0.010629999999999917,0.010629999999999917,1.30414,1.308,1.30404,1.30689,1.30688,1.32053,1.30674,1.31752
exact_15_minute,2011-05-05T12:15:00Z,2011-05-05T12:30:00Z,15.0,1.482,1.4714,-0.010599999999999943,0.010599999999999943,1.4814,1.4827,1.4806,1.482,1.4821,1.4821,1.4709,1.4714
exact_15_minute,2013-05-03T12:15:00Z,2013-05-03T12:30:00Z,15.0,1.31446,1.30396,-0.010499999999999954,0.010499999999999954,1.31131,1.31484,1.31083,1.31446,1.31436,1.31439,1.30323,1.30396
exact_15_minute,2024-11-22T08:45:00Z,2024-11-22T09:00:00Z,15.0,1.04434,1.03398,-0.010360000000000147,0.010360000000000147,1.04724,1.04741,1.0441,1.04434,1.04437,1.04441,1.03325,1.03398
