profile,metric,weekday,value
RAW,total_raw_rows,,406945
DEFAULT_RESEARCH,profile_source_rows,,406945
DEFAULT_RESEARCH,total_observed_utc_dates,,5146
DEFAULT_RESEARCH,monday_friday_utc_dates,,4294
DEFAULT_RESEARCH,weekend_utc_dates,,852
DEFAULT_RESEARCH,complete_daily_observations,,4946
DEFAULT_RESEARCH,partial_daily_observations,,200
DEFAULT_RESEARCH,excluded_boundary_dates,,2
DEFAULT_RESEARCH,zero_contribution_dates,,0
DEFAULT_RESEARCH,task03_profile_ineligible_dates,,0
DEFAULT_RESEARCH,partial_contribution_dates,,200
DEFAULT_RESEARCH,dates_excluded_for_insufficient_contributing_observations,,0
DEFAULT_RESEARCH,dates_included_in_analysis,,4127
DEFAULT_RESEARCH,dates_with_mixed_sensitivity_conditions,,202
DEFAULT_RESEARCH,dates_affected_by_audited_2023_interval,,156
DEFAULT_RESEARCH,included_dates_by_weekday,Monday,820
DEFAULT_RESEARCH,contributing_m15_rows_by_weekday,Monday,78720
DEFAULT_RESEARCH,included_dates_by_weekday,Tuesday,825
DEFAULT_RESEARCH,contributing_m15_rows_by_weekday,Tuesday,79200
DEFAULT_RESEARCH,included_dates_by_weekday,Wednesday,825
DEFAULT_RESEARCH,contributing_m15_rows_by_weekday,Wednesday,79200
DEFAULT_RESEARCH,included_dates_by_weekday,Thursday,828
DEFAULT_RESEARCH,contributing_m15_rows_by_weekday,Thursday,79488
DEFAULT_RESEARCH,included_dates_by_weekday,Friday,829
DEFAULT_RESEARCH,contributing_m15_rows_by_weekday,Friday,70648
STRICT_CONTINUITY,profile_source_rows,,360477
STRICT_CONTINUITY,total_observed_utc_dates,,5146
STRICT_CONTINUITY,monday_friday_utc_dates,,4294
STRICT_CONTINUITY,weekend_utc_dates,,852
STRICT_CONTINUITY,complete_daily_observations,,4458
STRICT_CONTINUITY,partial_daily_observations,,688
STRICT_CONTINUITY,excluded_boundary_dates,,2
STRICT_CONTINUITY,zero_contribution_dates,,621
STRICT_CONTINUITY,task03_profile_ineligible_dates,,621
STRICT_CONTINUITY,partial_contribution_dates,,67
STRICT_CONTINUITY,dates_excluded_for_insufficient_contributing_observations,,621
STRICT_CONTINUITY,dates_included_in_analysis,,3720
STRICT_CONTINUITY,dates_with_mixed_sensitivity_conditions,,202
STRICT_CONTINUITY,dates_affected_by_audited_2023_interval,,156
STRICT_CONTINUITY,included_dates_by_weekday,Monday,733
STRICT_CONTINUITY,contributing_m15_rows_by_weekday,Monday,70368
STRICT_CONTINUITY,included_dates_by_weekday,Tuesday,744
STRICT_CONTINUITY,contributing_m15_rows_by_weekday,Tuesday,71424
STRICT_CONTINUITY,included_dates_by_weekday,Wednesday,745
STRICT_CONTINUITY,contributing_m15_rows_by_weekday,Wednesday,71520
STRICT_CONTINUITY,included_dates_by_weekday,Thursday,747
STRICT_CONTINUITY,contributing_m15_rows_by_weekday,Thursday,71712
STRICT_CONTINUITY,included_dates_by_weekday,Friday,751
STRICT_CONTINUITY,contributing_m15_rows_by_weekday,Friday,63988
SENSITIVITY_FULL,profile_source_rows,,46468
SENSITIVITY_FULL,total_observed_utc_dates,,5146
SENSITIVITY_FULL,monday_friday_utc_dates,,4294
SENSITIVITY_FULL,weekend_utc_dates,,852
SENSITIVITY_FULL,complete_daily_observations,,479
SENSITIVITY_FULL,partial_daily_observations,,4667
SENSITIVITY_FULL,excluded_boundary_dates,,2
SENSITIVITY_FULL,zero_contribution_dates,,4465
SENSITIVITY_FULL,task03_profile_ineligible_dates,,4465
SENSITIVITY_FULL,partial_contribution_dates,,202
SENSITIVITY_FULL,dates_excluded_for_insufficient_contributing_observations,,4465
SENSITIVITY_FULL,dates_included_in_analysis,,398
SENSITIVITY_FULL,dates_with_mixed_sensitivity_conditions,,202
SENSITIVITY_FULL,dates_affected_by_audited_2023_interval,,156
SENSITIVITY_FULL,included_dates_by_weekday,Monday,81
