utc_date,weekday_number,weekday_name,daily_open,daily_high,daily_low,daily_close,daily_range_price,daily_range_pips,first_timestamp_utc,last_timestamp_utc,observed_m15_rows,expected_m15_rows,observed_coverage_ratio,first_expected_interval_present,last_expected_interval_present,continuous_expected_grid,is_weekday,is_weekend_date,is_boundary_date,is_partial_daily_observation,primary_profile_eligible,exclusion_reasons,first_raw_row_number,last_raw_row_number,contributing_raw_row_count,contributing_rows_sha256,expected_schedule_source,default_research_analysis_eligible,default_research_is_partial_daily_observation,default_research_observed_m15_rows,default_research_expected_m15_rows,default_research_observed_coverage_ratio,default_research_daily_range_pips,default_research_contributing_rows_sha256,strict_continuity_analysis_eligible,strict_continuity_is_partial_daily_observation,strict_continuity_observed_m15_rows,strict_continuity_expected_m15_rows,strict_continuity_observed_coverage_ratio,strict_continuity_daily_range_pips,strict_continuity_contributing_rows_sha256,sensitivity_full_analysis_eligible,sensitivity_full_is_partial_daily_observation,sensitivity_full_observed_m15_rows,sensitivity_full_expected_m15_rows,sensitivity_full_observed_coverage_ratio,sensitivity_full_daily_range_pips,sensitivity_full_contributing_rows_sha256,sensitivity_2023_analysis_eligible,sensitivity_2023_is_partial_daily_observation,sensitivity_2023_observed_m15_rows,sensitivity_2023_expected_m15_rows,sensitivity_2023_observed_coverage_ratio,sensitivity_2023_daily_range_pips,sensitivity_2023_contributing_rows_sha256,mixed_sensitivity_conditions,sensitivity_condition_count,date_affected_by_audited_2023_interval,dataset_version,raw_sha256,audit_fingerprint,coverage_fingerprint,coverage_config_fingerprint,task04_config_fingerprint,preregistration_fingerprint,method_id,method_version,repository_version
2010-01-03,6,Sunday,1.4300999999999999,1.4337,1.4298,1.4316,0.0039000000000000146,39.000000000000142,2010-01-03T22:00:00Z,2010-01-03T23:45:00Z,8,0,0,False,False,True,False,True,True,True,False,weekend_utc_date|no_expected_market_grid|incomplete_daily_observation|dataset_boundary_date,2,9,8,2b05be00089a4742308e7885303ded05e7b23c8315f46ab20ef9f2fdd895dc60,task02_weekly_boundary,False,True,8,0,0,39.000000000000142,2b05be00089a4742308e7885303ded05e7b23c8315f46ab20ef9f2fdd895dc60,False,True,0,0,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,8,0,0,39.000000000000142,2b05be00089a4742308e7885303ded05e7b23c8315f46ab20ef9f2fdd895dc60,False,True,0,0,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,2,False,sha256:b2a41310927aa9a9,b2a41310927aa9a9f699ce474bf59c449e99c506bc883cdc73c947286500383c,670968cbfcf018abc59bbb64a4b2b3912bae9df44988542765748328caf9c61f,464a9600384481798eef8c48600ff75cc1f04b6faa435c6f15abf595e04a3721,5681a86eb0c79fc5e45bbe164f321ef3f9e8deb438e6723bb2078c602148acb0,f54f6929ff552e3288a796b882dab303beb333a02ca4ad422a7603dfa63dedfa,e06ee9bfbf91516e168b25624e3f4b70615008cb3c433d8f1e4076612f2432a1,RANGE-WEEKDAY-001,range-weekday-registered-replication-v2.11,git:35dd92dd1ea6776c3436dad13ef34e10d411ad07+dirty
2010-01-04,0,Monday,1.4315,1.4456,1.4257,1.4424999999999999,0.019900000000000029,199.00000000000028,2010-01-04T00:00:00Z,2010-01-04T23:45:00Z,96,96,1,True,True,True,True,False,False,False,True,,10,105,96,b72bb2b5cba8af1455e7f0a23cdfc624b4bed0fcd58b0fed8c7f569cad08f7fc,full_utc_weekday,True,False,96,96,1,199.00000000000028,b72bb2b5cba8af1455e7f0a23cdfc624b4bed0fcd58b0fed8c7f569cad08f7fc,False,True,0,96,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True,False,96,96,1,199.00000000000028,b72bb2b5cba8af1455e7f0a23cdfc624b4bed0fcd58b0fed8c7f569cad08f7fc,False,True,0,96,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,2,False,sha256:b2a41310927aa9a9,b2a41310927aa9a9f699ce474bf59c449e99c506bc883cdc73c947286500383c,670968cbfcf018abc59bbb64a4b2b3912bae9df44988542765748328caf9c61f,464a9600384481798eef8c48600ff75cc1f04b6faa435c6f15abf595e04a3721,5681a86eb0c79fc5e45bbe164f321ef3f9e8deb438e6723bb2078c602148acb0,f54f6929ff552e3288a796b882dab303beb333a02ca4ad422a7603dfa63dedfa,e06ee9bfbf91516e168b25624e3f4b70615008cb3c433d8f1e4076612f2432a1,RANGE-WEEKDAY-001,range-weekday-registered-replication-v2.11,git:35dd92dd1ea6776c3436dad13ef34e10d411ad07+dirty
2010-01-05,1,Tuesday,1.4423999999999999,1.4482999999999999,1.4346000000000001,1.4363999999999999,0.013699999999999823,136.99999999999824,2010-01-05T00:00:00Z,2010-01-05T23:45:00Z,96,96,1,True,True,True,True,False,False,False,True,,106,201,96,e4510ba8f810c3ba2b98c9361f8439b5519cfaa75616817a00120e3448eaacb8,full_utc_weekday,True,False,96,96,1,136.99999999999824,e4510ba8f810c3ba2b98c9361f8439b5519cfaa75616817a00120e3448eaacb8,False,True,0,96,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True,False,96,96,1,136.99999999999824,e4510ba8f810c3ba2b98c9361f8439b5519cfaa75616817a00120e3448eaacb8,False,True,0,96,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,2,False,sha256:b2a41310927aa9a9,b2a41310927aa9a9f699ce474bf59c449e99c506bc883cdc73c947286500383c,670968cbfcf018abc59bbb64a4b2b3912bae9df44988542765748328caf9c61f,464a9600384481798eef8c48600ff75cc1f04b6faa435c6f15abf595e04a3721,5681a86eb0c79fc5e45bbe164f321ef3f9e8deb438e6723bb2078c602148acb0,f54f6929ff552e3288a796b882dab303beb333a02ca4ad422a7603dfa63dedfa,e06ee9bfbf91516e168b25624e3f4b70615008cb3c433d8f1e4076612f2432a1,RANGE-WEEKDAY-001,range-weekday-registered-replication-v2.11,git:35dd92dd1ea6776c3436dad13ef34e10d411ad07+dirty
2010-01-06,2,Wednesday,1.4365000000000001,1.4435,1.4282999999999999,1.4401999999999999,0.015200000000000102,152.00000000000102,2010-01-06T00:00:00Z,2010-01-06T23:45:00Z,96,96,1,True,True,True,True,False,False,False,True,,202,297,96,c2e32116872aa5e2db0607dcad12bf1707132c5addec22d771335ade9214347c,full_utc_weekday,True,False,96,96,1,152.00000000000102,c2e32116872aa5e2db0607dcad12bf1707132c5addec22d771335ade9214347c,False,True,0,96,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True,False,96,96,1,152.00000000000102,c2e32116872aa5e2db0607dcad12bf1707132c5addec22d771335ade9214347c,False,True,0,96,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,2,False,sha256:b2a41310927aa9a9,b2a41310927aa9a9f699ce474bf59c449e99c506bc883cdc73c947286500383c,670968cbfcf018abc59bbb64a4b2b3912bae9df44988542765748328caf9c61f,464a9600384481798eef8c48600ff75cc1f04b6faa435c6f15abf595e04a3721,5681a86eb0c79fc5e45bbe164f321ef3f9e8deb438e6723bb2078c602148acb0,f54f6929ff552e3288a796b882dab303beb333a02ca4ad422a7603dfa63dedfa,e06ee9bfbf91516e168b25624e3f4b70615008cb3c433d8f1e4076612f2432a1,RANGE-WEEKDAY-001,range-weekday-registered-replication-v2.11,git:35dd92dd1ea6776c3436dad13ef34e10d411ad07+dirty
2010-01-07,3,Thursday,1.4400999999999999,1.4447000000000001,1.4298999999999999,1.4317,0.014800000000000146,148.00000000000145,2010-01-07T00:00:00Z,2010-01-07T23:45:00Z,96,96,1,True,True,True,True,False,False,False,True,,298,393,96,93b1e485a9e1193b8c086cf89866eb38c48f9b487a0549e1c7092d9a0b2a08ea,full_utc_weekday,True,False,96,96,1,148.00000000000145,93b1e485a9e1193b8c086cf89866eb38c48f9b487a0549e1c7092d9a0b2a08ea,False,True,0,96,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True,False,96,96,1,148.00000000000145,93b1e485a9e1193b8c086cf89866eb38c48f9b487a0549e1c7092d9a0b2a08ea,False,True,0,96,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,2,False,sha256:b2a41310927aa9a9,b2a41310927aa9a9f699ce474bf59c449e99c506bc883cdc73c947286500383c,670968cbfcf018abc59bbb64a4b2b3912bae9df44988542765748328caf9c61f,464a9600384481798eef8c48600ff75cc1f04b6faa435c6f15abf595e04a3721,5681a86eb0c79fc5e45bbe164f321ef3f9e8deb438e6723bb2078c602148acb0,f54f6929ff552e3288a796b882dab303beb333a02ca4ad422a7603dfa63dedfa,e06ee9bfbf91516e168b25624e3f4b70615008cb3c433d8f1e4076612f2432a1,RANGE-WEEKDAY-001,range-weekday-registered-replication-v2.11,git:35dd92dd1ea6776c3436dad13ef34e10d411ad07+dirty
2010-01-08,4,Friday,1.4318,1.4439,1.4262999999999999,1.4409000000000001,0.01760000000000006,176.0000000000006,2010-01-08T00:00:00Z,2010-01-08T22:00:00Z,89,89,1,True,True,True,True,False,False,False,True,,394,482,89,e298b7f9cd4283a2df889859544c006ee3e72d455b94d78df505100c3471854b,task02_weekly_boundary,True,False,89,89,1,176.0000000000006,e298b7f9cd4283a2df889859544c006ee3e72d455b94d78df505100c3471854b,False,True,0,89,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True,False,89,89,1,176.0000000000006,e298b7f9cd4283a2df889859544c006ee3e72d455b94d78df505100c3471854b,False,True,0,89,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,2,False,sha256:b2a41310927aa9a9,b2a41310927aa9a9f699ce474bf59c449e99c506bc883cdc73c947286500383c,670968cbfcf018abc59bbb64a4b2b3912bae9df44988542765748328caf9c61f,464a9600384481798eef8c48600ff75cc1f04b6faa435c6f15abf595e04a3721,5681a86eb0c79fc5e45bbe164f321ef3f9e8deb438e6723bb2078c602148acb0,f54f6929ff552e3288a796b882dab303beb333a02ca4ad422a7603dfa63dedfa,e06ee9bfbf91516e168b25624e3f4b70615008cb3c433d8f1e4076612f2432a1,RANGE-WEEKDAY-001,range-weekday-registered-replication-v2.11,git:35dd92dd1ea6776c3436dad13ef34e10d411ad07+dirty
2010-01-10,6,Sunday,1.4428000000000001,1.4478,1.4408000000000001,1.4463999999999999,0.0069999999999998952,69.999999999998948,2010-01-10T22:00:00Z,2010-01-10T23:45:00Z,8,8,1,True,True,True,False,True,False,False,False,weekend_utc_date,483,490,8,d648311ea25ceb53fab880cc76a76b327aa334c2a80300f9ecc1d6efc2672eaf,task02_weekly_boundary,False,False,8,8,1,69.999999999998948,d648311ea25ceb53fab880cc76a76b327aa334c2a80300f9ecc1d6efc2672eaf,False,True,0,8,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,False,8,8,1,69.999999999998948,d648311ea25ceb53fab880cc76a76b327aa334c2a80300f9ecc1d6efc2672eaf,False,True,0,8,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,2,False,sha256:b2a41310927aa9a9,b2a41310927aa9a9f699ce474bf59c449e99c506bc883cdc73c947286500383c,670968cbfcf018abc59bbb64a4b2b3912bae9df44988542765748328caf9c61f,464a9600384481798eef8c48600ff75cc1f04b6faa435c6f15abf595e04a3721,5681a86eb0c79fc5e45bbe164f321ef3f9e8deb438e6723bb2078c602148acb0,f54f6929ff552e3288a796b882dab303beb333a02ca4ad422a7603dfa63dedfa,e06ee9bfbf91516e168b25624e3f4b70615008cb3c433d8f1e4076612f2432a1,RANGE-WEEKDAY-001,range-weekday-registered-replication-v2.11,git:35dd92dd1ea6776c3436dad13ef34e10d411ad07+dirty
2010-01-11,0,Monday,1.4464999999999999,1.4556,1.4461999999999999,1.4508000000000001,0.009400000000000075,94.000000000000739,2010-01-11T00:00:00Z,2010-01-11T23:45:00Z,96,96,1,True,True,True,True,False,False,False,True,,491,586,96,bb7a57d889d700447fdb25c8ebf5b562a5804fd44d41ea8951378daf03fa9c9b,full_utc_weekday,True,False,96,96,1,94.000000000000739,bb7a57d889d700447fdb25c8ebf5b562a5804fd44d41ea8951378daf03fa9c9b,False,True,0,96,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True,False,96,96,1,94.000000000000739,bb7a57d889d700447fdb25c8ebf5b562a5804fd44d41ea8951378daf03fa9c9b,False,True,0,96,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,2,False,sha256:b2a41310927aa9a9,b2a41310927aa9a9f699ce474bf59c449e99c506bc883cdc73c947286500383c,670968cbfcf018abc59bbb64a4b2b3912bae9df44988542765748328caf9c61f,464a9600384481798eef8c48600ff75cc1f04b6faa435c6f15abf595e04a3721,5681a86eb0c79fc5e45bbe164f321ef3f9e8deb438e6723bb2078c602148acb0,f54f6929ff552e3288a796b882dab303beb333a02ca4ad422a7603dfa63dedfa,e06ee9bfbf91516e168b25624e3f4b70615008cb3c433d8f1e4076612f2432a1,RANGE-WEEKDAY-001,range-weekday-registered-replication-v2.11,git:35dd92dd1ea6776c3436dad13ef34e10d411ad07+dirty
2010-01-12,1,Tuesday,1.4507000000000001,1.4545999999999999,1.4453,1.4476,0.0092999999999998639,92.999999999998636,2010-01-12T00:00:00Z,2010-01-12T23:45:00Z,96,96,1,True,True,True,True,False,False,False,True,,587,682,96,087584f720872b9d3e9d31e7cae8681061e8e376c26eb4545a1deb3143d72bb6,full_utc_weekday,True,False,96,96,1,92.999999999998636,087584f720872b9d3e9d31e7cae8681061e8e376c26eb4545a1deb3143d72bb6,False,True,0,96,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True,False,96,96,1,92.999999999998636,087584f720872b9d3e9d31e7cae8681061e8e376c26eb4545a1deb3143d72bb6,False,True,0,96,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,2,False,sha256:b2a41310927aa9a9,b2a41310927aa9a9f699ce474bf59c449e99c506bc883cdc73c947286500383c,670968cbfcf018abc59bbb64a4b2b3912bae9df44988542765748328caf9c61f,464a9600384481798eef8c48600ff75cc1f04b6faa435c6f15abf595e04a3721,5681a86eb0c79fc5e45bbe164f321ef3f9e8deb438e6723bb2078c602148acb0,f54f6929ff552e3288a796b882dab303beb333a02ca4ad422a7603dfa63dedfa,e06ee9bfbf91516e168b25624e3f4b70615008cb3c433d8f1e4076612f2432a1,RANGE-WEEKDAY-001,range-weekday-registered-replication-v2.11,git:35dd92dd1ea6776c3436dad13ef34e10d411ad07+dirty
2010-01-13,2,Wednesday,1.4477,1.4579,1.4456,1.4522999999999999,0.012299999999999978,122.99999999999977,2010-01-13T00:00:00Z,2010-01-13T23:45:00Z,96,96,1,True,True,True,True,False,False,False,True,,683,778,96,59c012af4846e4a241c7cfcb9d8474cceb38587b3dfe5b82ed3b62d8e4d2a799,full_utc_weekday,True,False,96,96,1,122.99999999999977,59c012af4846e4a241c7cfcb9d8474cceb38587b3dfe5b82ed3b62d8e4d2a799,False,True,0,96,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True,False,96,96,1,122.99999999999977,59c012af4846e4a241c7cfcb9d8474cceb38587b3dfe5b82ed3b62d8e4d2a799,False,True,0,96,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,2,False,sha256:b2a41310927aa9a9,b2a41310927aa9a9f699ce474bf59c449e99c506bc883cdc73c947286500383c,670968cbfcf018abc59bbb64a4b2b3912bae9df44988542765748328caf9c61f,464a9600384481798eef8c48600ff75cc1f04b6faa435c6f15abf595e04a3721,5681a86eb0c79fc5e45bbe164f321ef3f9e8deb438e6723bb2078c602148acb0,f54f6929ff552e3288a796b882dab303beb333a02ca4ad422a7603dfa63dedfa,e06ee9bfbf91516e168b25624e3f4b70615008cb3c433d8f1e4076612f2432a1,RANGE-WEEKDAY-001,range-weekday-registered-replication-v2.11,git:35dd92dd1ea6776c3436dad13ef34e10d411ad07+dirty
